"","Type","Subpopulation","Indicator","Category","NResp","Estimate.P","StdError.P","LCB95Pct.P","UCB95Pct.P","Estimate.U","StdError.U","LCB95Pct.U","UCB95Pct.U"
"1","National","National","NCCA_BI_Status","Good",556,56.3002050522358,1.65990263122506,53.0468556771914,59.5535544272802,19932.3729248371,751.655844059525,18459.1545417113,21405.5913079628
"2","National","National","NCCA_BI_Status","Fair",122,10.365507994478,0.980274780453053,8.44420472983712,12.2868112591189,3669.77652585141,342.074841570361,2999.32215635625,4340.23089534656
"3","National","National","NCCA_BI_Status","Poor",200,18.3316311200543,1.35112111785156,15.6834823903138,20.9797798497949,6490.08129662152,494.05730171207,5521.74677896682,7458.41581427621
"4","National","National","NCCA_BI_Status","Missing",226,15.0026558332318,1.02185257992031,12.9998615790787,17.005450087385,5311.49985428133,378.169667229926,4570.30092646518,6052.69878209748
"5","National","National","NCCA_BI_Status","Total",1104,100,0,100,100,35403.7306015913,721.947852978196,33988.738811038,36818.7223921446
"6","NCCA_Region","Great Lakes","NCCA_BI_Status","Good",99,20.3117769784027,2.36762324894068,15.6713206815193,24.9522332752862,1356.8200501238,163.422461080153,1036.51791214181,1677.1221881058
"7","NCCA_Region","Great Lakes","NCCA_BI_Status","Fair",42,11.5701052487637,1.70149398027095,8.23523832752091,14.9049721700064,772.879241449791,113.583807614472,550.259069298499,995.499413601083
"8","NCCA_Region","Great Lakes","NCCA_BI_Status","Poor",84,18.0031709892202,2.22943528782356,13.6335581192233,22.3727838592171,1202.60592610652,156.952258036299,894.985153063141,1510.22669914991
"9","NCCA_Region","Great Lakes","NCCA_BI_Status","Missing",180,50.1149467836134,2.66674873427816,44.8882153086104,55.3416782586164,3347.66203268156,228.1844299183,2900.42876820889,3794.89529715423
"10","NCCA_Region","Great Lakes","NCCA_BI_Status","Total",405,100,0,100,100,6679.96725036168,249.80661625539,6190.3552794013,7169.57922132206
"11","NCCA_Region","Gulf","NCCA_BI_Status","Good",146,61.068204454293,2.56538199882637,56.040148130006,66.0962607785801,6899.65456451314,363.630593926163,6186.95169674095,7612.35743228533
"12","NCCA_Region","Gulf","NCCA_BI_Status","Fair",52,20.1556055950591,2.53664555789364,15.1838716600441,25.1273395300741,2277.2360410328,289.897181212745,1709.04800663614,2845.42407542947
"13","NCCA_Region","Gulf","NCCA_BI_Status","Poor",35,15.4367911658561,2.10270239465469,11.3155702021268,19.5580121295854,1744.09134148773,243.484921539507,1266.86966449174,2221.31301848373
"14","NCCA_Region","Gulf","NCCA_BI_Status","Missing",7,3.33939878479179,1.18677427372521,1.0133639505117,5.66543361907188,377.294506594889,134.459795710351,113.758149633988,640.830863555791
"15","NCCA_Region","Gulf","NCCA_BI_Status","Total",240,100,0,100,100,11298.2764536286,331.42823698132,10648.6890456856,11947.8638615716
"16","NCCA_Region","Northeast","NCCA_BI_Status","Good",156,61.9142314093756,3.48524978874574,55.0832673463081,68.7451954724431,6632.90720808029,418.913913020378,5811.8510259376,7453.96339022297
"17","NCCA_Region","Northeast","NCCA_BI_Status","Fair",3,0.289614872176919,0.164337630770786,0,0.6117107097923,31.0266077685436,17.5433074152293,0,65.4108584721075
"18","NCCA_Region","Northeast","NCCA_BI_Status","Poor",55,27.3290412066014,3.21227510483285,21.0330976926944,33.6249847205084,2927.77589712177,370.062953333961,2202.46583657468,3653.08595766886
"19","NCCA_Region","Northeast","NCCA_BI_Status","Missing",24,10.4671125118461,1.95328047050137,6.63875313795796,14.2954718857342,1121.34778139389,215.05713817813,699.843535946502,1542.85202684128
"20","NCCA_Region","Northeast","NCCA_BI_Status","Total",238,100,0,100,100,10713.0574943645,385.740858939311,9957.0193034779,11469.0956852511
"21","NCCA_Region","Southeast","NCCA_BI_Status","Good",57,77.0278626042048,4.79331551778951,67.6331368228004,86.4225883856092,3492.98459465033,457.445106373681,2596.40866125382,4389.56052804684
"22","NCCA_Region","Southeast","NCCA_BI_Status","Fair",14,10.4285050469668,3.22826018532472,4.10123135100576,16.7557787429279,472.901703912785,133.398813712103,211.444833456694,734.358574368875
"23","NCCA_Region","Southeast","NCCA_BI_Status","Poor",15,12.1797465192634,3.50604571079207,5.3080231979598,19.051469840567,552.315298908614,155.307742713294,247.917716670344,856.712881146884
"24","NCCA_Region","Southeast","NCCA_BI_Status","Missing",1,0.363885829564957,0.311136615699274,0,0.973702390607214,16.5011406770174,14.0370185671534,0,44.0131915189581
"25","NCCA_Region","Southeast","NCCA_BI_Status","Total",87,100,0,100,100,4534.70273814875,406.705544497185,3737.57451862151,5331.83095767599
"26","NCCA_Region","West","NCCA_BI_Status","Good",98,71.1754386957002,6.37093378821563,58.6886379229082,83.6622394684922,1550.0065074695,144.006038724883,1267.75985801245,1832.25315692655
"27","NCCA_Region","West","NCCA_BI_Status","Fair",11,5.31439200074335,2.06338485805822,1.27023199270395,9.35855200878275,115.732931687482,43.8445929851949,29.799108519683,201.666754855282
"28","NCCA_Region","West","NCCA_BI_Status","Poor",11,2.90637176885187,0.953037972320724,1.03845166720417,4.77429187049957,63.2928329968718,20.0338649161943,24.0271792899906,102.558486703753
"29","NCCA_Region","West","NCCA_BI_Status","Missing",14,20.6037975347046,6.38271329883626,8.09390934534066,33.1136857240685,448.694392933969,162.536506427187,130.12869416372,767.260091704219
"30","NCCA_Region","West","NCCA_BI_Status","Total",134,100,0,100,100,2177.72666508783,183.594214092805,1817.88861769599,2537.56471247966
"31","Great_Lake","Lake Erie","NCCA_BI_Status","Good",5,10.4795607048554,3.84133630618812,2.95067989222054,18.0084415174902,108.101747992047,39.4304253694393,30.8195343728512,185.383961611242
"32","Great_Lake","Lake Erie","NCCA_BI_Status","Fair",6,10.6976511422642,3.98660249984906,2.88405382188274,18.5112484626457,110.351456559823,41.2489467339097,29.5050065611491,191.197906558497
"33","Great_Lake","Lake Erie","NCCA_BI_Status","Poor",31,46.4340897542645,6.20587616199635,34.270795984236,58.597383524293,478.990141879697,70.1476396853012,341.503294496014,616.476989263379
"34","Great_Lake","Lake Erie","NCCA_BI_Status","Missing",15,32.3886983986159,6.10466523144273,20.4237744073143,44.3536223899175,334.105122407981,67.3441929095261,202.112929737393,466.09731507857
"35","Great_Lake","Lake Erie","NCCA_BI_Status","Total",57,100,0,100,100,1031.54846883955,58.9901546023987,915.929890376397,1147.1670473027
"36","Great_Lake","Lake Huron","NCCA_BI_Status","Good",17,22.6414914614468,5.38561513137942,12.0858797693492,33.1971031535444,283.980151901716,70.2387927696107,146.314647755707,421.645656047726
"37","Great_Lake","Lake Huron","NCCA_BI_Status","Fair",8,15.5880613869358,4.22441532650756,7.30835949124192,23.8677632826296,195.512740318054,54.7183249251204,88.2667941704576,302.75868646565
"38","Great_Lake","Lake Huron","NCCA_BI_Status","Poor",17,19.2401193347049,4.86792664457397,9.69915843195702,28.7810802374528,241.3185553867,63.164153699,117.519089022707,365.118021750692
"39","Great_Lake","Lake Huron","NCCA_BI_Status","Missing",25,42.5303278169125,6.09557609831155,30.5832181991987,54.4774374346263,533.435218896344,84.3744526507268,368.064330485639,698.806107307048
"40","Great_Lake","Lake Huron","NCCA_BI_Status","Total",67,100,0,100,100,1254.24666650281,84.8018439752061,1088.03810648882,1420.4552265168
"41","Great_Lake","Lake Michigan","NCCA_BI_Status","Good",22,17.6700947533339,4.47202250218983,8.90509171098917,26.4350977956787,474.218105948617,125.898321438364,227.461930215377,720.974281681856
"42","Great_Lake","Lake Michigan","NCCA_BI_Status","Fair",17,15.2248110521925,3.33797965095603,8.68249115519114,21.7671309491939,408.593228354595,86.1296955070067,239.782127161461,577.40432954773
"43","Great_Lake","Lake Michigan","NCCA_BI_Status","Poor",27,16.5151827729825,4.35799425330428,7.97367099167354,25.0566945542914,443.223355806923,124.411837161706,199.380635719517,687.066075894329
"44","Great_Lake","Lake Michigan","NCCA_BI_Status","Missing",60,50.5899114214911,4.81222059643992,41.158132366807,60.0216904761752,1357.69798121096,180.445270459983,1004.0317499288,1711.36421249311
"45","Great_Lake","Lake Michigan","NCCA_BI_Status","Total",126,100,0,100,100,2683.73267132109,215.610722305409,2261.14342092182,3106.32192172036
"46","Great_Lake","Lake Ontario","NCCA_BI_Status","Good",15,18.9939859027192,4.60298119694224,9.9723085351973,28.015663270241,100.632696468468,24.1870802647875,53.2268902583047,148.038502678631
"47","Great_Lake","Lake Ontario","NCCA_BI_Status","Fair",4,4.81914634836854,2.65325919030406,0,10.0194388030144,25.5324866616369,13.9587079764159,0,52.891051566124
"48","Great_Lake","Lake Ontario","NCCA_BI_Status","Poor",8,7.27591140691087,2.85079158847364,1.68846256607282,12.8633602477489,38.5487589541858,15.3172472052387,8.5275060896212,68.5700118187503
"49","Great_Lake","Lake Ontario","NCCA_BI_Status","Missing",35,68.9109563420014,4.90535621859618,59.2966348222133,78.5252778617895,365.099531421875,33.7040662387425,299.040775461387,431.158287382362
"50","Great_Lake","Lake Ontario","NCCA_BI_Status","Total",62,100,0,100,100,529.813473506165,25.4752258411082,479.882948359569,579.743998652761
"51","Great_Lake","Lake Superior","NCCA_BI_Status","Good",40,33.023782100061,5.48044046735026,22.2823161646386,43.7652480354833,389.887347812957,66.1052676399513,260.323404050272,519.451291575643
"52","Great_Lake","Lake Superior","NCCA_BI_Status","Fair",7,2.78575352279699,1.8725475739342,0,6.45587932704589,32.8893295556816,22.616518830948,0,77.2168919200115
"53","Great_Lake","Lake Superior","NCCA_BI_Status","Poor",1,0.0444775985178962,0.0386766078247503,0,0.120282356898587,0.525114079020042,0.45355457767714,0,1.41406471629051
"54","Great_Lake","Lake Superior","NCCA_BI_Status","Missing",45,64.1459867786241,5.59554755248067,53.1789151019808,75.1130584552675,757.324178744404,81.9504980513489,596.70415404864,917.944203440167
"55","Great_Lake","Lake Superior","NCCA_BI_Status","Total",93,100,0,100,100,1180.62597019206,70.9350411253318,1041.59584434454,1319.65609603958
"56","Great_Lake_NPS","APIS","NCCA_BI_Status","Good",1,2.38695673414832,2.25392944328731,0,6.80457726668586,2.44756719533582,2.10902964863792,0,6.58118934899331
"57","Great_Lake_NPS","APIS","NCCA_BI_Status","Missing",7,97.6130432658517,2.25392944328731,93.1954227333141,100,100.091668657598,14.9257439277129,70.8377481168129,129.345589198382
"58","Great_Lake_NPS","APIS","NCCA_BI_Status","Total",8,100,0,100,100,102.539235852933,13.6133133935914,75.8576318912375,129.220839814629
"59","Great_Lake_NPS","INDU","NCCA_BI_Status","Good",1,33.2110588195089,25.0006794032092,0,82.2114900388313,29.8928205249017,24.1172828856367,0,77.1618263857139
"60","Great_Lake_NPS","INDU","NCCA_BI_Status","Fair",2,66.4221176390179,25.0009598528841,17.4211367484333,100,59.7856410498034,28.3289111244544,4.26199552463667,115.30928657497
"61","Great_Lake_NPS","INDU","NCCA_BI_Status","Missing",1,0.36682354147322,0.422010190557811,0,1.19394831607541,0.330172860466782,0.285933077113475,0,0.890591393597907
"62","Great_Lake_NPS","INDU","NCCA_BI_Status","Total",4,100,0,100,100,90.0086344351719,25.6015555075091,39.8305076922511,140.186761178093
"63","Great_Lake_NPS","PIRO","NCCA_BI_Status","Missing",4,100,0,100,100,63.8221699256635,23.1916825428834,18.3673074007257,109.277032450601
"64","Great_Lake_NPS","PIRO","NCCA_BI_Status","Total",4,100,0,100,100,63.8221699256635,23.1916825428834,18.3673074007257,109.277032450601
"65","Great_Lake_NPS","SLBE","NCCA_BI_Status","Poor",1,47.2342601152733,29.775599557005,0,100,59.4021801066058,51.286726035112,0,159.922316020398
"66","Great_Lake_NPS","SLBE","NCCA_BI_Status","Missing",11,52.7657398847267,29.775599557005,0,100,66.3586129314077,54.1627331927033,0,172.515619293358
"67","Great_Lake_NPS","SLBE","NCCA_BI_Status","Total",12,100,0,100,100,125.760793038013,74.1776500805907,0,271.146315653786
"68","NEP","Albemarle/Pamlico So","NCCA_BI_Status","Good",25,80.7577957360432,6.00349711359438,68.9911576121081,92.5244338599784,2656.20043182618,443.300919089076,1787.34659609808,3525.05426755427
"69","NEP","Albemarle/Pamlico So","NCCA_BI_Status","Fair",4,8.11854633411896,3.95501832509645,0.366852858733993,15.8702398095039,267.026682463834,120.587637850741,30.6792552956233,503.374109632045
"70","NEP","Albemarle/Pamlico So","NCCA_BI_Status","Poor",5,11.1236579298378,4.50383508904116,2.29630336300941,19.9510124966663,365.867650638895,145.812737752078,80.0799361576375,651.655365120153
"71","NEP","Albemarle/Pamlico So","NCCA_BI_Status","Total",34,100,0,100,100,3289.0947649289,399.49774131567,2506.09358004509,4072.09594981272
"72","NEP","Barataria-Terrabonne","NCCA_BI_Status","Good",12,55.9643404103625,11.6208897441159,33.1878150435844,78.7408657771406,495.177615399731,113.915327019813,271.907677153794,718.447553645668
"73","NEP","Barataria-Terrabonne","NCCA_BI_Status","Fair",2,14.9916126194683,8.85150088406278,0,32.3402355613558,132.647163059037,79.8720674490135,0,289.193538629858
"74","NEP","Barataria-Terrabonne","NCCA_BI_Status","Poor",2,11.5137576785671,7.02194267601007,0,25.2765124250517,101.874783652548,61.416834852056,0,222.249568007022
"75","NEP","Barataria-Terrabonne","NCCA_BI_Status","Missing",3,17.5302892916021,9.23008256715268,0,35.6209186975523,155.109607028901,81.7969804292644,0,315.428742714387
"76","NEP","Barataria-Terrabonne","NCCA_BI_Status","Total",19,100,0,100,100,884.809169140217,72.7216190031228,742.277414996653,1027.34092328378
"77","NEP","Barnegat Bay","NCCA_BI_Status","Good",2,54.3824593887666,39.9586053516921,0,100,19.2480944925161,14.8399394611541,0,48.3338413691329
"78","NEP","Barnegat Bay","NCCA_BI_Status","Poor",1,45.6175406112334,39.9586053516921,0,100,16.1458444886474,16.1458444886474,0,47.7911181863808
"79","NEP","Barnegat Bay","NCCA_BI_Status","Total",3,100,0,100,100,35.3939389811635,13.0435944847787,9.82896356205185,60.9589144002751
"80","NEP","Buzzards Bay","NCCA_BI_Status","Good",11,89.402998485593,8.8717027592953,72.0147805958296,100,199.412546835634,27.5359311161499,145.443113567204,253.381980104063
"81","NEP","Buzzards Bay","NCCA_BI_Status","Missing",1,10.597001514407,8.8717027592953,0,27.9852194041704,23.6365121595949,20.6770541266456,0,64.1627935542056
"82","NEP","Buzzards Bay","NCCA_BI_Status","Total",12,100,0,100,100,223.049058995229,27.3771402311331,169.390850142505,276.707267847952
"83","NEP","Casco Bay","NCCA_BI_Status","Good",5,41.8423995378737,12.3988004952911,17.5411971156057,66.1436019601416,91.4615895467621,26.2594979246223,39.9939193623982,142.929259731126
"84","NEP","Casco Bay","NCCA_BI_Status","Poor",2,24.5918917491771,9.29011294231772,6.38360496992491,42.8001785284292,53.754410219848,22.0126606460317,10.6103881497238,96.8984322899722
"85","NEP","Casco Bay","NCCA_BI_Status","Missing",4,33.5657087129493,12.7120127745524,8.65062150381342,58.4807959220851,73.3699096384555,26.9415020667219,20.5655358982692,126.174283378642
"86","NEP","Casco Bay","NCCA_BI_Status","Total",11,100,0,100,100,218.585909405066,6.9493161533032,204.965500027409,232.206318782722
"87","NEP","Charlotte Harbor","NCCA_BI_Status","Good",6,86.7271658941305,10.0335365382332,67.0617956416268,100,284.19105274135,62.7644212492831,161.175047582254,407.207057900445
"88","NEP","Charlotte Harbor","NCCA_BI_Status","Fair",1,2.35351012988145,2.30307473815756,0,6.86745367037428,7.71207630911073,6.66660595518544,0,20.7783838803944
"89","NEP","Charlotte Harbor","NCCA_BI_Status","Poor",1,10.919323975988,9.41125480388629,0,29.3650444409347,35.7808783899154,29.6949764538274,0,93.981962761182
"90","NEP","Charlotte Harbor","NCCA_BI_Status","Total",8,100,0,100,100,327.684007440376,46.1513739487587,237.228976663769,418.139038216983
"91","NEP","Chesapeake Bay","NCCA_BI_Status","Good",28,56.6800324656607,6.2418362535684,44.4462582112703,68.9138067200512,2337.3058532784,283.05897835483,1782.52045020223,2892.09125635457
"92","NEP","Chesapeake Bay","NCCA_BI_Status","Poor",18,42.404737141977,6.34748645027865,29.9638923070748,54.8455819768791,1748.63767745232,300.852058232301,1158.97847864226,2338.29687626237
"93","NEP","Chesapeake Bay","NCCA_BI_Status","Missing",1,0.915230392362278,0.781923012175648,0,2.44777133490962,37.7412160880932,31.8081043102582,0,100.083954952692
"94","NEP","Chesapeake Bay","NCCA_BI_Status","Total",47,100,0,100,100,4123.68474681881,270.738588541696,3593.04686405188,4654.32262958574
"95","NEP","Coastal Bend Bays","NCCA_BI_Status","Good",11,48.2585864956782,9.04423023132983,30.5322209743834,65.984952016973,359.857291936279,74.610254646825,213.62387995114,506.090703921418
"96","NEP","Coastal Bend Bays","NCCA_BI_Status","Fair",2,9.11156762466574,6.00494468586195,0,20.8810429381103,67.9436404752577,45.230302474149,0,156.593404334443
"97","NEP","Coastal Bend Bays","NCCA_BI_Status","Poor",6,32.2112548905704,9.79294638596054,13.0174326715561,51.4050771095848,240.194663717056,66.170259715527,110.503337826962,369.885989607151
"98","NEP","Coastal Bend Bays","NCCA_BI_Status","Missing",1,10.4185909890857,7.97315494050443,0,26.0456875156319,77.6899244543734,62.0916625273362,0,199.387346748168
"99","NEP","Coastal Bend Bays","NCCA_BI_Status","Total",20,100,0,100,100,745.685520582966,51.6855441507415,644.383715526158,846.987325639774
"100","NEP","Delaware Estuary","NCCA_BI_Status","Good",14,53.7820158046231,14.406657926461,25.5454851311711,82.0185464780751,401.880340138467,161.076333681514,86.1765273609433,717.58415291599
"101","NEP","Delaware Estuary","NCCA_BI_Status","Poor",4,17.4759391330612,11.9809766461407,0,40.9582218591124,130.587079304493,93.5420868815518,0,313.926200631051
"102","NEP","Delaware Estuary","NCCA_BI_Status","Missing",3,28.7420450623157,12.6907144448299,3.8687018123669,53.6153883122644,214.771846557035,102.532375460277,13.8120834055539,415.731609708517
"103","NEP","Delaware Estuary","NCCA_BI_Status","Total",21,100,0,100,100,747.239265999995,190.235259695291,374.3850084076,1120.09352359239
"104","NEP","Delaware Inland Bays","NCCA_BI_Status","Good",1,19.630134392523,31.5534252596757,0,81.4737114903638,6.54573002593386,6.54573002593386,0,19.3751251292867
"105","NEP","Delaware Inland Bays","NCCA_BI_Status","Poor",1,80.369865607477,31.5534252596757,18.5262885096362,100,26.7995843516747,26.7995843516747,0,79.3258044816003
"106","NEP","Delaware Inland Bays","NCCA_BI_Status","Total",2,100,0,100,100,33.3453143776086,20.2538543257408,0,73.0421394041814
"107","NEP","Galveston Bay","NCCA_BI_Status","Good",7,80.0061320857903,11.2533907082798,57.9498915936043,100,456.395674682865,105.135025741352,250.334810716124,662.456538649606
"108","NEP","Galveston Bay","NCCA_BI_Status","Fair",3,19.9938679142097,11.2533907082798,0,42.0501084063957,114.055192999969,56.3597973945842,3.59201993060944,224.518366069328
"109","NEP","Galveston Bay","NCCA_BI_Status","Total",10,100,0,100,100,570.450867682834,62.7729911844797,447.418065759403,693.483669606264
"110","NEP","Indian River","NCCA_BI_Status","Good",6,67.7549025217228,15.3862104407605,37.598484199278,97.9113208441676,234.118527597883,64.942608265251,106.833354335898,361.403700859868
"111","NEP","Indian River","NCCA_BI_Status","Fair",3,32.2450974782772,15.3862104407605,2.08867915583237,62.401515800722,111.418871002642,51.3931448084644,10.6901581258005,212.147583879484
"112","NEP","Indian River","NCCA_BI_Status","Total",9,100,0,100,100,345.537398600525,38.4503328437472,270.176131033203,420.898666167847
"113","NEP","Long Island Sound","NCCA_BI_Status","Good",15,67.7670317347203,6.84931962453978,54.342611952019,81.1914515174217,869.931743211384,88.7655545646756,695.954453196895,1043.90903322587
"114","NEP","Long Island Sound","NCCA_BI_Status","Poor",7,32.2329682652797,6.84931962453978,18.8085484825783,45.657388047981,413.777637209473,91.490324198601,234.459896846322,593.095377572624
"115","NEP","Long Island Sound","NCCA_BI_Status","Total",22,100,0,100,100,1283.70938042086,46.9404284541392,1191.70783123186,1375.71092960985
"116","NEP","Lower Columbia River","NCCA_BI_Status","Good",9,90.8221739825003,8.54276472465987,74.0786627937678,100,51.3995232735548,7.59369005820041,36.5161642497222,66.2828822973875
"117","NEP","Lower Columbia River","NCCA_BI_Status","Poor",1,9.17782601749967,8.54276472465987,0,25.9213372062322,5.19406067154928,4.70298053270149,0,14.4117331356372
"118","NEP","Lower Columbia River","NCCA_BI_Status","Total",10,100,0,100,100,56.5935839451041,4.90627095524343,46.9774695744321,66.2096983157762
"119","NEP","Maryland Inland Bays","NCCA_BI_Status","Good",2,66.6666666666667,33.3333333333333,1.33453384866487,100,9.15724145714104,4.57862072857052,0.183309730274278,18.1311731840078
"120","NEP","Maryland Inland Bays","NCCA_BI_Status","Poor",1,33.3333333333333,33.3333333333333,0,98.6654661513351,4.57862072857052,4.57862072857052,0,13.5525524554373
"121","NEP","Maryland Inland Bays","NCCA_BI_Status","Total",3,100,0,100,100,13.7358621857116,0,13.7358621857116,13.7358621857116
"122","NEP","Massachusetts Bay","NCCA_BI_Status","Good",11,93.7956973225236,4.38353075206298,85.2041349233564,100,562.273630417834,106.074311160177,354.371800858992,770.175459976676
"123","NEP","Massachusetts Bay","NCCA_BI_Status","Fair",1,2.27458635394038,1.9311350962374,0,6.05954159184697,13.6353794836792,11.2974629206738,0,35.7779999248766
"124","NEP","Massachusetts Bay","NCCA_BI_Status","Missing",1,3.92971632353601,3.71082260398418,0,11.2027949803621,23.5573264746785,20.1833626453997,0,63.115990346573
"125","NEP","Massachusetts Bay","NCCA_BI_Status","Total",13,100,0,100,100,599.466336376192,93.5583200117101,416.095398699167,782.837274053217
"126","NEP","Mobile Bay","NCCA_BI_Status","Good",7,43.8865373023343,10.7936093678427,22.7314516781684,65.0416229265002,159.428244275345,50.9447501361012,59.5783688071946,259.278119743495
"127","NEP","Mobile Bay","NCCA_BI_Status","Fair",5,25.903578239335,12.1270491020199,2.13499876062716,49.6721577180428,94.1008849865798,41.3982397686157,12.9618260167393,175.23994395642
"128","NEP","Mobile Bay","NCCA_BI_Status","Poor",3,30.2098844583307,14.0457253627238,2.68076861065134,57.7390003060101,109.74456256991,55.4230235330849,1.11743253074734,218.371692609072
"129","NEP","Mobile Bay","NCCA_BI_Status","Total",15,100,0,100,100,363.273691831834,55.5358802255623,254.425366740002,472.122016923667
"130","NEP","Morro Bay","NCCA_BI_Status","Good",3,100,0,100,100,4.51868545530942,0,4.51868545530942,4.51868545530942
"131","NEP","Morro Bay","NCCA_BI_Status","Total",3,100,0,100,100,4.51868545530942,0,4.51868545530942,4.51868545530942
"132","NEP","Narragansett Bay","NCCA_BI_Status","Good",8,84.200000523556,6.95504204437205,70.5683686056249,97.831632441487,100.104257180358,19.9409572493491,61.020699154381,139.187815206335
"133","NEP","Narragansett Bay","NCCA_BI_Status","Poor",3,15.799999476444,6.95504204437205,2.16836755851299,29.4316313943751,18.7844085653775,6.95295310148902,5.156870900263,32.4119462304921
"134","NEP","Narragansett Bay","NCCA_BI_Status","Total",11,100,0,100,100,118.888665745736,16.2570569748178,87.0254195804771,150.751911910994
"135","NEP","New Hampshire Estuar","NCCA_BI_Status","Good",8,66.6870922313635,12.9513937225308,41.302826985605,92.071357477122,14.5404659407959,2.82354050389001,9.00642824428136,20.0745036373104
"136","NEP","New Hampshire Estuar","NCCA_BI_Status","Fair",1,8.19628183977058,7.08632867245664,0,22.0852308203991,1.787118810322,1.54265429739799,0,4.810665673818
"137","NEP","New Hampshire Estuar","NCCA_BI_Status","Poor",3,25.1166259288659,11.6007389507953,2.37959539125606,47.8536564664758,5.47643376921186,2.53486388609139,0.508191846761491,10.4446756916622
"138","NEP","New Hampshire Estuar","NCCA_BI_Status","Total",12,100,0,100,100,21.8040185203297,0.118602006963463,21.5715628581872,22.0364741824723
"139","NEP","NY/NJ Harbor","NCCA_BI_Status","Good",10,81.3610574297354,8.56743801824932,64.5691874741875,98.1529273852833,213.94983912057,45.622702045466,124.530986234055,303.368692007085
"140","NEP","NY/NJ Harbor","NCCA_BI_Status","Poor",3,18.6389425702646,8.56743801824932,1.84707261471669,35.4308125258125,49.0136054061191,19.4129389717238,10.9649441874664,87.0622666247718
"141","NEP","NY/NJ Harbor","NCCA_BI_Status","Total",13,100,0,100,100,262.963444526689,35.1166434897963,194.136088028755,331.790801024623
"142","NEP","Peconic Bay","NCCA_BI_Status","Good",7,68.0792311922833,11.3912604979794,45.7527708777299,90.4056915068367,137.358493790492,26.2824543158704,85.8458299060666,188.871157674917
"143","NEP","Peconic Bay","NCCA_BI_Status","Poor",4,31.9207688077167,11.3912604979794,9.59430849316335,54.2472291222701,64.404204443476,23.7160521750042,17.921596324995,110.886812561957
